Client,30 Day Check-in,60 Day Check-in,90 Day Check-in,Activation Date,Assigned AM,Assigned CSA,Average MRR,Billing MRR,Client Code,Client_URL,Contract End Date,Contract Start Date,Customer_ID,Graduation Date,Graduation Status,Last CBR Date,Last Contacted Date,Notes / sentiment,Odin MRR,PSA Web MRR,Payments MRR,Payments Rev Share,Projects,Rev.io Product,Status,Tasks,Tigerpaw MRR,Type
CallTower,,,,"September 26, 2017 8:00 PM (EDT)",Rachael Buchtan,Ingrid Beard,"$111,229.91",,CALLTOWER,CALLTOWER,"December 30, 2016 7:00 PM (EST)","December 31, 2013 7:00 PM (EST)",1032,,,"March 19, 2026","May 29, 2026",,,,,,,"Billing, Payments",Active,,,
BCM ONE C/O InvoiceIQ,,,,"March 30, 2014 8:00 PM (EDT)",Ryan Burton,Justin Lee,"$80,277.89",,"CHARLESTONTEL, PRIMARYWAVE, SKYSWITCH, SKYSWITCH_SANDBOX, SKYSWITCHMAIN, TUCTECHNOLOGIES","CHARLESTONTEL, PRIMARYWAVE, SKYSWITCH, SKYSWITCH_SANDBOX, SKYSWITCHMAIN, TUCTECHNOLOGIES","February 24, 2022 7:00 PM (EST)","February 25, 2020 7:00 PM (EST)",1050,,,"November 27, 2024","May 29, 2026",,,,,,,Billing,Active,,,
BCN Telecom,,,,"June 29, 2026 12:53 PM (EDT)",Rachael Buchtan,Ingrid Beard,$0.00,$0.00,BCN,BCN,"June 1, 2026 8:00 PM (EDT)","June 2, 2024 8:00 PM (EDT)",20008,,,"September 9, 2024",,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$0.00,,,Billing,Churned,,$0.00,
Spectrotel,,,,"December 31, 2013 7:00 PM (EST)",Ryan Burton,Katerra Stephenson-Greenwood,"$53,595.75","$52,755.82","SPECTROTEL, SPECTROTEL_NEW1, SPECTROTEL_SANDBOX","SPECTROTEL, SPECTROTEL_NEW1, SPECTROTEL_SANDBOX","May 27, 2018 8:00 PM (EDT)","May 28, 2013 8:00 PM (EDT)",1033,,,"May 18, 2026","May 21, 2026",June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$372.27,,,"Billing, Payments",Active,,$0.00,
Telesystem,,,,"April 29, 2021 8:00 PM (EDT)",Ryan Burton,Justin Lee,"$43,067.71","$42,843.03","TELESYSTEM, telesystem_SANDBOX","TELESYSTEM, telesystem_SANDBOX","March 30, 2029 8:00 PM (EDT)","March 31, 2026 8:00 PM (EDT)",1376,,,"August 2, 2024",,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$0.00,,,"Billing, Payments",Active,,$0.00,
SOTELRESELLER,,,,"September 9, 2026 3:22 AM (EDT)",Rachael Buchtan,Ingrid Beard,$500.00,"$41,734.93",SOTELRESELLER,SOTELRESELLER,"September 9, 2026 3:22 AM (EDT)","September 9, 2026 3:22 AM (EDT)",21033,,,"February 3, 2026",,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$0.00,,,Billing,Active,,$0.00,
Hunter Communications,,,,"March 29, 2020 8:00 PM (EDT)",Ryan Burton,Jakob Champion,"$43,045.87","$41,258.61","HUNTER, HUNTER_SANDBOX","HUNTER, HUNTER_SANDBOX","February 27, 2027 7:00 PM (EST)","February 29, 2024 7:00 PM (EST)",1334,,,"March 25, 2026",,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,"$20,245.28",,,"Billing, Payments",Active,,$0.00,
TPX Communications,,,,"September 9, 2026 3:15 AM (EDT)",Ryan Burton,Justin Lee,"$36,191.88",$0.00,TPX,TPX,"May 21, 2023 8:00 PM (EDT)","May 22, 2022 8:00 PM (EDT)",1471,,,"June 3, 2026",,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,"$36,000.00",$0.00,$0.00,,,Odin,Active,,$0.00,
Zultys Business Phone Solutions,,,,"September 9, 2026 3:15 AM (EDT)",Rachael Buchtan,Ingrid Beard,"$35,956.32","$36,808.42",ZULTYS,ZULTYS,"February 26, 2028 7:00 PM (EST)","February 27, 2025 7:00 PM (EST)",20035,,,"January 30, 2026",,June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,$0.00,,,Billing,Active,,$0.00,
Broadvoice,,,,"June 24, 2020 8:00 PM (EDT)",Rachael Buchtan,Jakob Champion,"$32,062.40","$26,559.73","BROADVOICE, Broadvoice_QA_Sandbox, BROADVOICE_SANDBOX","BROADVOICE, Broadvoice_QA_Sandbox, BROADVOICE_SANDBOX","August 22, 2021 8:00 PM (EDT)","August 23, 2018 8:00 PM (EDT)",1247,,,"March 23, 2026","May 28, 2026",June 2026 retention import from Cohort_Jun26_wo_Payments_7.6.26---70f34bf5-b8e8-4d81-9703-88d2102c7435.xlsx; product-level MRR loaded.,$0.00,$0.00,"$1,489.93",,,Billing,Active,,$0.00,
